,asset_id,interval,timestamp,open,high,low,close,volume
155,AMZN,D,2019-11-29,1817.12,1824.37,1800.9,1801.62,103698
156,AMZN,D,2019-12-02,1804.4,1805.54,1762.68,1782.17,118244
157,AMZN,D,2019-12-03,1760.76,1772.74,1747.23,1769.93,158146
158,AMZN,D,2019-12-04,1774.01,1788.74,1760.32,1760.32,89540
159,AMZN,D,2019-12-05,1762.36,1762.36,1740.0,1741.16,101683
160,AMZN,D,2019-12-06,1751.71,1754.4,1740.13,1751.87,176068
161,AMZN,D,2019-12-09,1762.55,1764.92,1749.88,1749.88,33830
162,AMZN,D,2019-12-10,1744.69,1750.32,1735.03,1739.14,75618
163,AMZN,D,2019-12-11,1742.61,1748.07,1736.97,1748.07,15801
164,AMZN,D,2019-12-13,1761.39,1761.39,1761.39,1761.39,100
165,AMZN,D,2019-12-16,1767.36,1769.41,1757.29,1768.62,115167
166,AMZN,D,2019-12-17,1779.85,1791.98,1778.2,1790.38,160371
167,AMZN,D,2019-12-18,1795.43,1798.17,1782.49,1782.49,95343
168,AMZN,D,2019-12-19,1782.08,1792.81,1774.55,1792.7,93972
169,AMZN,D,2019-12-20,1797.19,1799.69,1784.51,1784.96,158780
170,AMZN,D,2019-12-23,1788.58,1793.0,1785.0,1793.0,73025
171,AMZN,D,2019-12-24,1794.33,1794.33,1787.64,1789.71,29363
172,AMZN,D,2019-12-26,1799.98,1870.46,1799.98,1868.93,293255
173,AMZN,D,2019-12-27,1882.1,1900.45,1866.45,1869.39,283765
174,AMZN,D,2019-12-30,1872.0,1883.82,1840.99,1846.43,153508
175,AMZN,D,2019-12-31,1849.1,1849.21,1836.64,1848.2,62664
176,AMZN,D,2020-01-02,1875.0,1897.86,1864.27,1897.86,177266
177,AMZN,D,2020-01-03,1865.475,1886.0,1865.475,1874.89,165419
178,AMZN,D,2020-01-06,1860.85,1903.49,1860.84,1903.49,156396
179,AMZN,D,2020-01-07,1903.81,1913.52,1892.56,1906.5,183269
180,AMZN,D,2020-01-08,1897.63,1910.0,1887.03,1891.49,146548
181,AMZN,D,2020-01-09,1909.99,1917.29,1896.1,1900.44,182439
182,AMZN,D,2020-01-10,1905.37,1906.31,1880.5,1882.73,145613
183,AMZN,D,2020-01-13,1892.49,1897.45,1881.1,1890.79,89219
184,AMZN,D,2020-01-14,1885.02,1886.22,1858.55,1869.2,141496
185,AMZN,D,2020-01-15,1872.29,1878.82,1855.54,1862.45,107729
186,AMZN,D,2020-01-16,1881.95,1885.06,1866.57,1877.54,125325
187,AMZN,D,2020-01-17,1884.02,1884.02,1857.28,1864.18,161401
188,AMZN,D,2020-01-21,1864.47,1893.91,1860.39,1892.45,141124
189,AMZN,D,2020-01-22,1897.1,1902.29,1884.11,1887.73,171816
190,AMZN,D,2020-01-23,1885.11,1889.68,1873.35,1884.62,90411
191,AMZN,D,2020-01-24,1891.45,1894.41,1848.17,1861.75,180953
192,AMZN,D,2020-01-27,1818.99,1840.91,1816.05,1828.52,100330
193,AMZN,D,2020-01-28,1841.0,1858.11,1830.61,1854.26,88112
194,AMZN,D,2020-01-29,1864.0,1874.68,1855.29,1858.11,74349
195,AMZN,D,2020-01-30,1859.0,1872.87,1851.0,1872.2,107694
196,AMZN,D,2020-01-31,2038.99,2049.75,2003.37,2008.12,355605
197,AMZN,D,2020-02-03,2010.95,2048.2,2000.31,2003.54,220296
198,AMZN,D,2020-02-04,2030.36,2059.33,2015.9,2050.5,216733
